dates,label,Year,Month,Yearmonth
"Aug 4, 2018",1,2018,Aug,2018-08-01
"Aug 20, 2018",0,2018,Aug,2018-08-01
"Jul 20, 2018",1,2018,Jul,2018-07-01
"Aug 3, 2018",1,2018,Aug,2018-08-01
"Aug 1, 2018",1,2018,Aug,2018-08-01
"Jul 17, 2018",1,2018,Jul,2018-07-01
"Jul 17, 2018",1,2018,Jul,2018-07-01
"Aug 21, 2018",0,2018,Aug,2018-08-01
"Jul 26, 2018",1,2018,Jul,2018-07-01
"Jul 11, 2018",1,2018,Jul,2018-07-01
"Jul 13, 2018",1,2018,Jul,2018-07-01
"Jul 27, 2018",1,2018,Jul,2018-07-01
"Jul 12, 2018",1,2018,Jul,2018-07-01
"Jul 12, 2018",1,2018,Jul,2018-07-01
"Aug 11, 2018",0,2018,Aug,2018-08-01
"Jul 11, 2018",1,2018,Jul,2018-07-01
"Jul 25, 2018",1,2018,Jul,2018-07-01
"Jul 19, 2018",1,2018,Jul,2018-07-01
"Jul 25, 2018",1,2018,Jul,2018-07-01
"Jul 10, 2018",1,2018,Jul,2018-07-01
"Jul 9, 2018",1,2018,Jul,2018-07-01
"Jul 9, 2018",1,2018,Jul,2018-07-01
"Jul 23, 2018",1,2018,Jul,2018-07-01
"Jul 22, 2018",1,2018,Jul,2018-07-01
"Jul 4, 2018",1,2018,Jul,2018-07-01
"Jul 21, 2018",1,2018,Jul,2018-07-01
"Jul 6, 2018",1,2018,Jul,2018-07-01
"Jul 5, 2018",1,2018,Jul,2018-07-01
"Jun 28, 2018",1,2018,Jun,2018-06-01
"Jul 1, 2018",1,2018,Jul,2018-07-01
"Jul 18, 2018",1,2018,Jul,2018-07-01
"Jul 3, 2018",1,2018,Jul,2018-07-01
"Jul 3, 2018",1,2018,Jul,2018-07-01
"Jun 29, 2018",1,2018,Jun,2018-06-01
"Jul 14, 2018",1,2018,Jul,2018-07-01
"Jul 1, 2018",1,2018,Jul,2018-07-01
"Jun 30, 2018",1,2018,Jun,2018-06-01
"Jul 13, 2018",1,2018,Jul,2018-07-01
"Jul 13, 2018",1,2018,Jul,2018-07-01
"Jun 28, 2018",1,2018,Jun,2018-06-01
"Jun 20, 2018",1,2018,Jun,2018-06-01
"Jul 3, 2018",1,2018,Jul,2018-07-01
"Jun 26, 2018",1,2018,Jun,2018-06-01
"Jul 8, 2018",1,2018,Jul,2018-07-01
"Jul 8, 2018",1,2018,Jul,2018-07-01
"Jun 15, 2018",1,2018,Jun,2018-06-01
"Jun 24, 2018",1,2018,Jun,2018-06-01
"Jun 24, 2018",1,2018,Jun,2018-06-01
"Jun 23, 2018",1,2018,Jun,2018-06-01
"Jun 21, 2018",1,2018,Jun,2018-06-01
"Jun 21, 2018",1,2018,Jun,2018-06-01
"Jun 21, 2018",1,2018,Jun,2018-06-01
"Jun 28, 2018",0,2018,Jun,2018-06-01
"Jun 27, 2018",1,2018,Jun,2018-06-01
"Jun 18, 2018",1,2018,Jun,2018-06-01
"Jun 18, 2018",1,2018,Jun,2018-06-01
"Jun 29, 2018",1,2018,Jun,2018-06-01
